55431,54893,54208,54663,14666,14675,14693,14668,14666,14666,14636,55528,54854,54175,54636
14664,55537,55532,14665,14675,14693,14669,14667,14665,14667,14665,14667,55537,55533
14663,55537,55531,14665,14675,14693,14667,14667,14665,14666,14665,14665,55536,55533
14667,14663,55537,55531,14665,14674,14692,14667,14666,14665,14665,14666,14665,55536,55533
14668,14664,55537,55531,14666,14675,14693,14668,14666,14666,14666,14667,14665,55537,55533
14668,14663,55537,55531,14665,14673,14692,14668,14665,14665,14665,14667,14664,55537,55533
14670,14664,55538,55532,14665,14674,14693,14668,14666,14666,14666,14666,14665,55536,55533
14663,55538,55532,14666,14675,14694,14669,14667,14666,14667,14667,14665,55536,55533
55537,55531,14667,14676,14694,14669,14667,14667,14667,14667,14665,55536,55532
54214,54664,14664,14674,14692,14666,14664,14664,14630,55526,54880,54210,54670
53658,55524,13556,17184,11639,16587,13305,15700,12881,55806,55473,53630,55495
55511,13299,16009,12866,16437,13365,15977,13271,16062,13190,56318,55515
55512,13199,16099,12830,16481,13265,15971,13287,16153,13272,56183,55514
55512,13099,16204,12738,16569,13172,16066,13183,16254,13187,56225,55513
55512,13025,16279,12649,16662,13086,16153,13092,16343,13107,56263,55513
55512,12970,16330,12580,16730,13036,16200,13035,16402,13049,56293,55513
55513,12926,16376,12543,16771,12987,16253,12998,16439,13002,56317,55514
56362,55513,12814,16440,12486,16951,12806,16320,12925,16527,12922,56333,55513
56345,55513,12887,16421,12499,16815,12948,16298,12950,16492,12960,56339,55514
53629,55531,13238,16344,13061,16264,13294,16309,12412,55686,55514,53660,55531
55535,54434,15293,11973,17957,12602,16023,13503,15199,55529,54905,55534,54357
55515,55550,15430,13277,16508,12857,15924,13284,16029,13236,15330,55528,55538
55515,55551,15474,13195,16538,12816,16016,13295,16001,13155,15376,55526,55539
55514,55551,15539,13081,16634,12723,16113,13195,16109,13049,15422,55526,55540
55515,55551,15567,13011,16723,12637,16196,13112,16198,12966,15463,55525,55540
55515,55551,15592,12957,16790,12570,16244,13063,16252,12908,15491,55526,55541
55516,55550,15611,12915,16829,12532,16292,13015,16290,12875,15516,55525,55541
55516,55550,15630,12861,16878,12369,16461,12955,16355,12795,15574,55525,55542
55515,55551,15633,12876,16875,12491,16336,12974,16341,12825,15541,55525,55542
55521,55251,55437,54442,15724,12957,16336,12995,15990,12949,15582,55526,54865,55523,54397
